x,y
8.993273,-2.3691208
28.258226,-0.22148468
4.24634,34.40729
8.90569,-2.3962028
7.7486053,-0.62906176
-5.5008907,26.594395
15.028441,0.8555268
6.749181,-1.18164
10.107431,1.22355
7.5396147,-1.1503795
9.4828,-2.0532274
8.8519945,-2.357359
17.045383,1.7482584
-3.641528,17.21421
13.18939,1.2713299
28.122498,-0.6363914
3.431193,33.779408
21.041021,-7.9407187
16.950047,1.8646946
-3.068409,18.311111
19.936998,0.16300133
3.8358634,32.49506
-4.527242,18.254345
11.338863,1.4565606
-1.4493647,18.533384
10.600613,0.6810836
14.637704,0.70697224
10.163689,1.25728
9.488144,-2.0262423
12.583313,1.2232295
3.875832,32.41942
8.842626,-1.7350645
-4.561513,18.193645
12.0019655,1.402172
12.086289,1.3158033
28.99275,0.7540795
12.05751,1.254743
12.074392,1.2168803
12.042115,1.2281942
12.120859,1.1773567
21.540077,-7.414971
12.758695,1.2841234
-5.418544,23.464294
-1.351443,7.824366
-1.3993759,7.8109655
14.597215,0.66679126
-2.8533978,18.8174
-5.202049,26.211056
9.788664,0.025790203
12.110135,-0.13494544
10.815916,1.3238755
28.196835,-0.3501386
8.078939,-1.1365529
28.940266,0.49569213
6.5327625,-1.1638783
11.463528,1.5062538
-1.4005558,18.194464
-0.90739715,8.346784
27.621033,-0.5219932
27.720509,0.07326466
-3.541061,20.456182
20.799355,-7.6113806
7.3095217,-0.14291328
-0.5761557,8.163249
17.062508,0.97159654
-2.9007666,20.598766
16.782837,1.8352613
21.028395,-7.7197094
28.409096,-0.10544557
-3.4798372,20.398193
-8.812127,20.504166
14.622388,0.7019988
10.189423,1.2659292
28.965908,0.7746966
3.7407808,33.523273
9.681304,0.31854123
13.461289,1.4648503
7.3394284,-0.64901644
10.173211,1.2174883
7.754858,-2.0458221
7.001528,-0.8347462
6.779202,-0.9473372
6.7911377,-0.9470978
7.429203,-0.05412997
8.159011,-1.2129406
-5.4389176,26.62451
9.665195,0.10495831
9.739927,0.11287554
12.013441,0.0052093486
9.817564,0.6872885
17.164452,1.9551644
17.2181,1.9556414
18.02613,0.21880542
3.833745,32.481384
-1.2855548,18.240322
-0.9913235,18.375954
-3.3164485,19.633307
29.007444,0.8285977
28.161749,-0.23044659
28.760088,0.3002869
28.956331,0.68748087
28.878284,0.4189359
7.624509,-0.02458191
3.5406477,34.248672
10.249009,1.3308175
10.16383,1.2567878
10.267109,1.3140188
10.184653,1.2525663
7.398651,-0.06414944
7.3096385,-0.0898457
7.5932393,-0.17651016
7.3267546,-0.06698589
7.301276,-0.035945293
7.670591,-0.21100715
7.3788676,-0.08970437
7.4283895,-0.02550677
7.6328692,-0.20306477
7.460123,-0.067756765
7.5887976,-0.17167288
7.8274517,-1.8444963
7.3146763,-0.07872917
7.624034,-0.21227919
7.3726377,-0.06941575
11.467457,-0.4348405
7.593382,-0.23201546
7.702198,-0.14984398
20.315226,0.6668401
7.640075,-2.074406
8.123756,-1.2019658
3.7384546,33.007774
-3.223998,20.754644
9.473738,-0.15755025
21.282452,-8.856938
-1.4316679,17.383635
-4.589809,18.232504
8.192361,-1.1887215
3.6016996,34.096462
6.563673,-1.1399757
6.5321655,-1.1470162
6.7672644,-0.9901173
