0	kingdom	phylum	class	order	family	genus	species	x	y	species_name
ncbi1567544	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium tjaetaba	7.3407784	-0.12679267	Fusarium tjaetaba
ncbi1569628	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales		Jaminaea	Jaminaea rosea	12.216006	2.3091204	Jaminaea rosea
ncbi157072		Oomycota		Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces invadans	42.68194	24.845161	Aphanomyces invadans
ncbi1574408	Metazoa	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus canadensis	11.141672	33.600616	Cervus canadensis
ncbi157538		Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leptomonas	Leptomonas pyrrhocoris	30.251305	-1.415061	Leptomonas pyrrhocoris
ncbi1578925	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia pennisetigena	9.130315	2.025341	Pyricularia pennisetigena
ncbi158386	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Olea	Olea europaea	-5.9956675	4.8721747	Olea europaea
ncbi158441	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Folsomia	Folsomia candida	-0.4266308	18.30492	Folsomia candida
ncbi158456	Metazoa	Chordata	Actinopteri	Anabantiformes	Osphronemidae	Betta	Betta splendens	17.220772	30.445704	Betta splendens
ncbi1606681	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Puntigrus	Puntigrus tetrazona	19.39853	30.43291	Puntigrus tetrazona
ncbi160734	Metazoa	Chordata	Actinopteri	Perciformes	Serranidae	Plectropomus	Plectropomus leopardus	19.037542	30.921585	Plectropomus leopardus
ncbi1608454	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Sinocyclocheilus	Sinocyclocheilus anshuiensis	43.97873	23.276478	Sinocyclocheilus anshuiensis
ncbi1608482	Metazoa	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi	21.38439	29.140224	Puma yagouaroundi
ncbi161013	Metazoa	Arthropoda	Insecta	Thysanoptera	Thripidae	Thrips	Thrips palmi	-10.251968	20.559065	Thrips palmi
ncbi161584	Metazoa	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus acus	21.253744	29.304804	Syngnathus acus
ncbi164674	Metazoa	Chordata	Aves	Passeriformes	Tyrannidae	Empidonax	Empidonax traillii	44.053947	23.166992	Empidonax traillii
ncbi166361	Metazoa	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus taurus	17.612991	30.410723	Onthophagus taurus
ncbi1664694	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora attinorum	10.204637	3.0039506	Cyphellophora attinorum
ncbi1676925	Metazoa	Chordata	Actinopteri	Osteoglossiformes	Mormyridae	Paramormyrops	Paramormyrops kingsleyae	43.819195	23.389532	Paramormyrops kingsleyae
ncbi1684307	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales		Pseudomicrostroma	Pseudomicrostroma glucosiphilum	12.591555	3.0444176	Pseudomicrostroma glucosiphilum
ncbi1706337	Metazoa	Chordata	Mammalia	Artiodactyla	Phocoenidae	Neophocaena	Neophocaena asiaeorientalis	21.325384	29.219448	Neophocaena asiaeorientalis
ncbi173247	Metazoa	Chordata	Actinopteri	Carangiformes	Echeneidae	Echeneis	Echeneis naucrates	44.03064	22.780024	Echeneis naucrates
ncbi1734106	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shandongensis	12.324686	3.0110912	Kwoniella shandongensis
ncbi1735272	Metazoa	Mollusca	Gastropoda	Neomphalida	Peltospiridae	Gigantopelta	Gigantopelta aegis	-0.44767815	18.274788	Gigantopelta aegis
ncbi174628	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera latifrons	9.900312	36.314556	Bactrocera latifrons
ncbi1750568	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus anzutake	12.259	2.555196	Cantharellus anzutake
ncbi175836	Metazoa	Chordata	Aves	Bucerotiformes	Bucerotidae	Buceros	Buceros rhinoceros	44.007397	22.589354	Buceros rhinoceros
ncbi176057	Metazoa	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis	44.049545	23.139492	Nestor notabilis
ncbi176946	Metazoa	Chordata	Lepidosauria	Squamata	Pythonidae	Python	Python bivittatus	43.00693	24.335485	Python bivittatus
ncbi178035	Metazoa	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea	Dufourea novaeangliae	-11.016014	20.794086	Dufourea novaeangliae
ncbi178133	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Rhodamnia	Rhodamnia argentea	-6.311728	4.3223066	Rhodamnia argentea
ncbi180454	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae	20.643362	32.95006	Anopheles gambiae
ncbi180498	Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	Jatropha curcas	-5.71929	4.3237033	Jatropha curcas
ncbi180675	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia	Salvia splendens	-6.2647347	4.3430634	Salvia splendens
ncbi1806994	Fungi	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	Synchytrium microbalum	19.171017	30.219246	Synchytrium microbalum
ncbi1810919	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus mulundensis	6.2716513	2.6853077	Aspergillus mulundensis
ncbi181119	Metazoa	Chordata	Aves	Passeriformes	Paridae	Pseudopodoces	Pseudopodoces humilis	42.70941	24.779955	Pseudopodoces humilis
ncbi181124	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius oreades	11.572922	1.0638385	Marasmius oreades
ncbi181472	Metazoa	Chordata	Actinopteri	Blenniiformes	Blenniidae	Salarias	Salarias fasciatus	43.798626	23.369469	Salarias fasciatus
ncbi182096	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus chevalieri	6.799057	2.6040716	Aspergillus chevalieri
ncbi1825980	Metazoa	Chordata		Testudines	Testudinidae	Gopherus	Gopherus evgoodei	42.848267	24.547195	Gopherus evgoodei
ncbi183418	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis laboriosa	-10.877079	21.229395	Apis laboriosa
ncbi1835702	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium arizonense	7.034487	2.578442	Penicillium arizonense
ncbi1841481	Metazoa	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola lalandi	43.856113	23.34864	Seriola lalandi
