0	kingdom	phylum	class	order	family	genus	species	subclass	superkingdom	x	y	species_name
ncbi486640	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Odontomachus	Odontomachus brunneus	Pterygota	Eukaryota	-2.061481	15.695284	Odontomachus brunneus
ncbi48698	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia formosa	Neopterygii	Eukaryota	-11.034021	7.799198	Poecilia formosa
ncbi48699	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia latipinna	Neopterygii	Eukaryota	-11.007868	7.823504	Poecilia latipinna
ncbi48701	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia mexicana	Neopterygii	Eukaryota	-10.806457	7.899168	Poecilia mexicana
ncbi48883	Metazoa	Chordata	Aves	Passeriformes	Thraupidae	Geospiza	Geospiza fortis		Eukaryota	-10.442253	6.1167474	Geospiza fortis
ncbi4896	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces pombe		Eukaryota	1.1702324	0.2468565	Schizosaccharomyces pombe
ncbi4909	Fungi	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	Pichia kudriavzevii		Eukaryota	0.95209557	0.386439	Pichia kudriavzevii
ncbi491861	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Grammomys	Grammomys surdaster		Eukaryota	-2.2435563	13.350382	Grammomys surdaster
ncbi49369	Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea	Coffea eugenioides		Eukaryota	15.478877	11.314617	Coffea eugenioides
ncbi49451	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Nicotiana	Nicotiana attenuata		Eukaryota	15.902738	11.480572	Nicotiana attenuata
ncbi494514	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes lagopus		Eukaryota	-4.589647	14.7089615	Vulpes lagopus
ncbi4950	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora delbrueckii		Eukaryota	0.98081446	0.39848402	Torulaspora delbrueckii
ncbi4956	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces rouxii		Eukaryota	0.8191566	0.44183436	Zygosaccharomyces rouxii
ncbi498019	Fungi	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma auris		Eukaryota	1.4888048	-1.4522007	Candidozyma auris
ncbi498257	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium dahliae	Hypocreomycetidae	Eukaryota	8.4612055	-6.510737	Verticillium dahliae
ncbi4999	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella imperatae		Eukaryota	4.159532	-2.8527958	Kockovaella imperatae
ncbi500485	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens	Eurotiomycetidae	Eukaryota	7.940671	-3.4961743	Penicillium rubens
ncbi5007	Fungi	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Brettanomyces	Brettanomyces bruxellensis		Eukaryota	0.87263536	0.14882872	Brettanomyces bruxellensis
ncbi502779	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Paracoccidioides	Paracoccidioides lutzii	Eurotiomycetidae	Eukaryota	3.4876356	-2.0614882	Paracoccidioides lutzii
ncbi502780	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Paracoccidioides	Paracoccidioides brasiliensis	Eurotiomycetidae	Eukaryota	3.4358609	-2.0163267	Paracoccidioides brasiliensis
ncbi50390	Metazoa	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Diabrotica	Diabrotica virgifera	Pterygota	Eukaryota	0.26994613	2.696532	Diabrotica virgifera
ncbi50402	Metazoa	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	Charadrius vociferus		Eukaryota	-10.684351	7.0250735	Charadrius vociferus
ncbi50429	Metazoa	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Stylophora	Stylophora pistillata	Hexacorallia	Eukaryota	4.3410983	9.046466	Stylophora pistillata
ncbi5068	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tubingensis	Eurotiomycetidae	Eukaryota	7.551555	-2.9036934	Aspergillus tubingensis
ncbi5078	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium griseofulvum	Eurotiomycetidae	Eukaryota	7.841502	-3.3108222	Penicillium griseofulvum
ncbi5082	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium roqueforti	Eurotiomycetidae	Eukaryota	7.8962445	-3.3326385	Penicillium roqueforti
ncbi508771		Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Coccidia	Eukaryota	-1.4521368	3.4838102	Toxoplasma gondii
ncbi50954	Metazoa	Chordata	Mammalia	Eulipotyphla	Talpidae	Talpa	Talpa occidentalis		Eukaryota	1.2658991	9.419221	Talpa occidentalis
ncbi51031	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	Necator	Necator americanus		Eukaryota	-0.06841545	7.7937837	Necator americanus
ncbi510516	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus oryzae	Eurotiomycetidae	Eukaryota	8.625088	-3.6546702	Aspergillus oryzae
ncbi510951	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora tetrasperma	Sordariomycetidae	Eukaryota	5.455273	-3.6025321	Neurospora tetrasperma
ncbi51240	Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	Juglans regia		Eukaryota	15.427264	11.31433	Juglans regia
